source_id,year_scope,session,paper,source_class,publisher,title,url,confidence,access_status,analysis_use,copyright_handling
SRC-2024-H1-CASE,2024,H1,case,candidate_recall,希赛网,2024上半年系统架构设计师案例分析回忆汇总,https://www.educity.cn/rk/5307450.html,C,public,提取案例主题与考查维度,不复制题干与答案
SRC-2024-H1-ESSAY,2024,H1,essay,candidate_recall,希赛网,2024上半年系统架构设计师论文回忆汇总,https://www.educity.cn/rk/5307453.html,C,public,提取四个论文主题,不复制题干
SRC-2024-H2-INDEX,2024,H2,all,training_site,优路教育,2024下半年系统架构设计师真题汇总,https://www.youlu.com/rkgj/article/CA20241106020000000099,C,public,交叉定位综合案例论文入口,只保存索引
SRC-2024-H2-ESSAY-1,2024,H2,essay,training_site,优路教育,2024下半年系统架构设计师论文主题,https://www.youlu.com/rkgj/article/CA20241119010000000095,B,public,与考生回忆交叉确认SOA和分布式事务,仅保存主题
SRC-2024-H2-RECALL,2024,H2,all,candidate_recall,LINUX DO,2024年11月系统架构设计师回忆版,https://linux.do/t/topic/255765,C,public,提取论文与案例主题并用于交叉核验,不复制完整题干与答案
SRC-2024-H2-GK,2024,H2,general,candidate_recall,ProcessOn,2024年11月10日系统架构师真题回忆,https://www.processon.com/view/6732ec25be9d2e22e510e6ad,C,public,观察综合知识仍覆盖安全操作系统架构评估等基础域,不复制题目
SRC-2025-H1-ESSAY,2025,H1,essay,candidate_recall,希赛网,2025上半年系统架构设计师论文回忆,https://www.educity.cn/rk/5385438.html,C,public,提取四个论文主题,不复制题干
SRC-2025-H2-ESSAY,2025,H2,essay,candidate_recall,希赛网,2025下半年系统架构设计师论文回忆,https://www.educity.cn/rk/5422426.html,C,public,提取四个论文主题,不复制题干
SRC-2026-H1-ANALYSIS,2026,H1,all,training_site,希赛网,2026上半年系统架构设计师考情分析,https://www.educity.cn/rk/5523980.html,C,public,抽样观察综合知识的经典基础与AI新知识并存,不复制题目
SRC-2026-H1-ESSAY,2026,H1,essay,candidate_recall,希赛网,2026上半年系统架构设计师论文回忆,https://www.educity.cn/rk/5513958.html,C,public,提取四个论文主题并标记可能的转录问题,不复制题干
SRC-2026-H1-CASE-1,2026,H1,case,candidate_recall,希赛网,2026上半年案例分析回忆一,https://www.educity.cn/rk/5526704.html,C,public,提取IoT分层时序数据库MQTT主题,不复制题干与答案
SRC-2026-H1-CASE-2,2026,H1,case,candidate_recall,希赛网,2026上半年案例分析回忆二,https://www.educity.cn/rk/5526706.html,C,public,提取知识图谱推荐与冷启动主题,不复制题干与答案
SRC-2026-H1-CASE-3,2026,H1,case,candidate_recall,希赛网,2026上半年案例分析回忆三,https://www.educity.cn/rk/5526707.html,C,public,提取秒杀锁与Redis并发控制主题,不复制题干与答案
SRC-2026-H1-CASE-4,2026,H1,case,candidate_recall,希赛网,2026上半年案例分析回忆四,https://www.educity.cn/rk/5526708.html,C,public,提取AIoT边缘架构及权衡主题,不复制题干与答案
SRC-2026-H1-CASE-5,2026,H1,case,candidate_recall,希赛网,2026上半年案例分析回忆五,https://www.educity.cn/rk/5526710.html,C,public,提取质量属性与管道过滤器主题,不复制题干与答案
